day;daydif;space distance;sex one;sex two;name one;name two
1/12/2020;30/11/2020;9;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;8;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;14;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;16;macho;hembra;T10;T30
1/12/2020;30/11/2020;15;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;17;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;18;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;30/11/2020;13;macho;hembra;T10;T30
1/12/2020;30/11/2020;19;macho;hembra;T10;T30
1/12/2020;29/11/2020;13;macho;hembra;T10;T30
1/12/2020;29/11/2020;8;macho;hembra;T10;T30
1/12/2020;29/11/2020;6;macho;hembra;T10;T30
1/12/2020;29/11/2020;1;macho;hembra;T10;T30
1/12/2020;29/11/2020;6;macho;hembra;T10;T30
1/12/2020;29/11/2020;4;macho;hembra;T10;T30
1/12/2020;29/11/2020;4;macho;hembra;T10;T30
1/12/2020;29/11/2020;3;macho;hembra;T10;T30
1/12/2020;1/12/2020;15;macho;hembra;T10;T55
1/12/2020;1/12/2020;18;macho;hembra;T10;T55
1/12/2020;1/12/2020;13;macho;hembra;T10;T55
1/12/2020;1/12/2020;17;macho;hembra;T10;T55
1/12/2020;1/12/2020;19;macho;hembra;T10;T55
1/12/2020;30/11/2020;4;macho;hembra;T10;T55
1/12/2020;30/11/2020;7;macho;hembra;T10;T55
1/12/2020;30/11/2020;6;macho;hembra;T10;T55
1/12/2020;30/11/2020;7;macho;hembra;T10;T55
1/12/2020;30/11/2020;12;macho;hembra;T10;T55
1/12/2020;30/11/2020;3;macho;hembra;T10;T55
1/12/2020;30/11/2020;19;macho;hembra;T10;T55
1/12/2020;30/11/2020;9;macho;hembra;T10;T55
1/12/2020;30/11/2020;18;macho;hembra;T10;T55
1/12/2020;30/11/2020;10;macho;hembra;T10;T55
1/12/2020;30/11/2020;6;macho;hembra;T10;T55
1/12/2020;30/11/2020;18;macho;hembra;T10;T55
1/12/2020;30/11/2020;9;macho;hembra;T10;T55
1/12/2020;30/11/2020;12;macho;hembra;T10;T55
1/12/2020;30/11/2020;13;macho;hembra;T10;T55
1/12/2020;29/11/2020;5;macho;hembra;T10;T55
1/12/2020;29/11/2020;8;macho;hembra;T10;T55
1/12/2020;29/11/2020;6;macho;hembra;T10;T55
1/12/2020;29/11/2020;4;macho;hembra;T10;T55
1/12/2020;29/11/2020;5;macho;hembra;T10;T55
1/12/2020;29/11/2020;5;macho;hembra;T10;T55
1/12/2020;30/11/2020;13;macho;macho;T10;T56
1/12/2020;30/11/2020;19;macho;macho;T10;T56
1/12/2020;30/11/2020;15;macho;macho;T10;T56
1/12/2020;30/11/2020;19;macho;macho;T10;T56
1/12/2020;29/11/2020;11;macho;macho;T10;T56
1/12/2020;29/11/2020;18;macho;macho;T10;T56
1/12/2020;1/12/2020;14;macho;hembra;T10;T79
1/12/2020;1/12/2020;18;macho;hembra;T10;T79
1/12/2020;1/12/2020;15;macho;hembra;T10;T79
1/12/2020;1/12/2020;17;macho;hembra;T10;T79
1/12/2020;1/12/2020;19;macho;hembra;T10;T79
1/12/2020;1/12/2020;8;macho;hembra;T10;T79
1/12/2020;1/12/2020;15;macho;hembra;T10;T79
1/12/2020;1/12/2020;16;macho;hembra;T10;T79
1/12/2020;1/12/2020;17;macho;hembra;T10;T79
1/12/2020;1/12/2020;16;macho;hembra;T10;T79
1/12/2020;1/12/2020;14;macho;hembra;T10;T79
1/12/2020;1/12/2020;19;macho;hembra;T10;T79
1/12/2020;1/12/2020;12;macho;hembra;T10;T79
1/12/2020;1/12/2020;5;macho;hembra;T10;T79
1/12/2020;1/12/2020;15;macho;hembra;T10;T79
1/12/2020;1/12/2020;15;macho;hembra;T10;T79
1/12/2020;1/12/2020;11;macho;hembra;T10;T79
1/12/2020;30/11/2020;16;macho;hembra;T10;T79
1/12/2020;30/11/2020;12;macho;macho;T11;T171
1/12/2020;30/11/2020;10;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;7;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;16;hembra;hembra;T133;T169
1/12/2020;30/11/2020;7;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;10;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;7;hembra;hembra;T133;T169
1/12/2020;30/11/2020;2;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;10;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;12;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;10;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;13;hembra;hembra;T133;T169
1/12/2020;30/11/2020;10;hembra;hembra;T133;T169
1/12/2020;30/11/2020;10;hembra;hembra;T133;T169
1/12/2020;30/11/2020;12;hembra;hembra;T133;T169
1/12/2020;30/11/2020;10;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;6;hembra;hembra;T133;T169
1/12/2020;30/11/2020;9;hembra;hembra;T133;T169
1/12/2020;30/11/2020;11;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;14;hembra;hembra;T133;T169
1/12/2020;30/11/2020;8;hembra;hembra;T133;T169
1/12/2020;30/11/2020;0;hembra;hembra;T133;T169
1/12/2020;30/11/2020;3;hembra;hembra;T133;T169
1/12/2020;30/11/2020;16;hembra;hembra;T133;T169
1/12/2020;29/11/2020;12;macho;hembra;T171;T29
1/12/2020;29/11/2020;13;macho;hembra;T171;T29
1/12/2020;29/11/2020;12;macho;hembra;T171;T29
1/12/2020;29/11/2020;18;macho;hembra;T171;T29
1/12/2020;29/11/2020;19;macho;hembra;T171;T29
1/12/2020;29/11/2020;17;macho;hembra;T171;T29
1/12/2020;29/11/2020;18;macho;hembra;T171;T29
1/12/2020;29/11/2020;17;macho;hembra;T171;T29
1/12/2020;29/11/2020;18;macho;hembra;T171;T29
1/12/2020;29/11/2020;19;macho;hembra;T171;T29
1/12/2020;29/11/2020;15;macho;hembra;T171;T29
1/12/2020;29/11/2020;14;macho;hembra;T171;T29
1/12/2020;29/11/2020;16;macho;hembra;T171;T29
1/12/2020;29/11/2020;12;macho;hembra;T171;T29
1/12/2020;29/11/2020;11;macho;hembra;T171;T29
1/12/2020;29/11/2020;13;macho;hembra;T171;T29
1/12/2020;29/11/2020;5;macho;hembra;T171;T29
1/12/2020;29/11/2020;4;macho;hembra;T171;T29
1/12/2020;29/11/2020;6;macho;hembra;T171;T29
1/12/2020;29/11/2020;16;macho;hembra;T171;T29
1/12/2020;29/11/2020;15;macho;hembra;T171;T29
1/12/2020;29/11/2020;17;macho;hembra;T171;T29
1/12/2020;29/11/2020;3;macho;hembra;T171;T29
1/12/2020;29/11/2020;4;macho;hembra;T171;T29
1/12/2020;29/11/2020;2;macho;hembra;T171;T29
1/12/2020;29/11/2020;12;macho;hembra;T171;T29
1/12/2020;29/11/2020;12;macho;hembra;T171;T29
1/12/2020;29/11/2020;12;macho;hembra;T171;T29
1/12/2020;29/11/2020;16;macho;hembra;T171;T29
1/12/2020;29/11/2020;15;macho;hembra;T171;T29
1/12/2020;29/11/2020;16;macho;hembra;T171;T29
1/12/2020;29/11/2020;19;macho;hembra;T171;T29
1/12/2020;29/11/2020;19;macho;hembra;T171;T29
1/12/2020;29/11/2020;19;macho;hembra;T171;T29
1/12/2020;29/11/2020;12;macho;hembra;T171;T29
1/12/2020;29/11/2020;14;macho;hembra;T171;T29
1/12/2020;29/11/2020;12;macho;hembra;T171;T29
1/12/2020;29/11/2020;19;macho;hembra;T171;T29
1/12/2020;29/11/2020;19;macho;hembra;T171;T29
1/12/2020;29/11/2020;12;macho;hembra;T171;T29
1/12/2020;29/11/2020;13;macho;hembra;T171;T29
1/12/2020;29/11/2020;11;macho;hembra;T171;T29
1/12/2020;29/11/2020;13;macho;hembra;T171;T29
1/12/2020;29/11/2020;14;macho;hembra;T171;T29
1/12/2020;29/11/2020;13;macho;hembra;T171;T29
1/12/2020;29/11/2020;13;macho;hembra;T171;T29
1/12/2020;29/11/2020;14;macho;hembra;T171;T29
1/12/2020;29/11/2020;12;macho;hembra;T171;T29
1/12/2020;1/12/2020;12;macho;hembra;T171;T30
1/12/2020;1/12/2020;9;macho;hembra;T171;T30
1/12/2020;1/12/2020;14;macho;hembra;T171;T30
1/12/2020;1/12/2020;15;macho;hembra;T171;T30
1/12/2020;1/12/2020;14;macho;hembra;T171;T30
1/12/2020;1/12/2020;12;macho;hembra;T171;T30
1/12/2020;1/12/2020;15;macho;hembra;T171;T30
1/12/2020;1/12/2020;15;macho;hembra;T171;T30
1/12/2020;1/12/2020;16;macho;hembra;T171;T30
1/12/2020;1/12/2020;12;macho;hembra;T171;T30
1/12/2020;1/12/2020;7;macho;hembra;T171;T30
1/12/2020;1/12/2020;8;macho;hembra;T171;T30
1/12/2020;1/12/2020;13;macho;hembra;T171;T30
1/12/2020;1/12/2020;13;macho;hembra;T171;T30
1/12/2020;1/12/2020;13;macho;hembra;T171;T30
1/12/2020;1/12/2020;11;macho;hembra;T171;T30
1/12/2020;1/12/2020;13;macho;hembra;T171;T30
1/12/2020;1/12/2020;13;macho;hembra;T171;T30
1/12/2020;1/12/2020;14;macho;hembra;T171;T30
1/12/2020;1/12/2020;10;macho;hembra;T171;T30
1/12/2020;1/12/2020;19;macho;hembra;T171;T30
1/12/2020;1/12/2020;7;macho;hembra;T171;T30
1/12/2020;1/12/2020;5;macho;hembra;T171;T30
1/12/2020;1/12/2020;13;macho;hembra;T171;T30
1/12/2020;1/12/2020;14;macho;hembra;T171;T30
1/12/2020;1/12/2020;12;macho;hembra;T171;T30
1/12/2020;1/12/2020;13;macho;hembra;T171;T30
